link,title,snippet,date,source
https://finance.yahoo.com/news/inventhelp-inventor-develops-highly-portable-151500318.html,"InventHelp Inventor Develops Highly Portable, Durable, and Reusable Floor Product (IPL-705)","""I wanted to create a portable, durable, and reusable floor that could be easily installed in primarily outdoor spaces for various different...",1 hour ago,Yahoo Finance
https://www.fox44news.com/business/press-releases/cision/20250123NE98359/inventhelp-inventor-develops-new-stepladder-accessory-itm-278,InventHelp Inventor Develops New Stepladder Accessory (ITM-278),"PITTSBURGH, Jan. 23, 2025 /PRNewswire/ -- ""I wanted to create a convenient way to access items atop a stepladder while working,"" said an...",59 minutes ago,KWKT - FOX 44
https://www.wtrf.com/business/press-releases/cision/20250123NE02988/inventhelp-inventor-develops-smart-soap-toilet-paper-dispensers-pbt-4083,InventHelp Inventor Develops Smart Soap & Toilet Paper Dispensers (PBT-4083),"PITTSBURGH, Jan. 23, 2025 /PRNewswire/ -- ""I wanted to create an effective way to ensure that soap and toilet paper dispensers are refilled...",1 hour ago,WTRF
https://www.hjnews.com/news/state/inventhelp-inventor-develops-improved-salt-truck-jmt-368/article_aee28c58-72b8-5843-a24b-b458b10a14bf.html,InventHelp Inventor Develops Improved Salt Truck (JMT-368) | State News | hjnews.com,"PITTSBURGH, Jan. 23, 2025 /PRNewswire/ -- ""I thought there should be a way for salt distribution trucks to detect slippage and road...",44 minutes ago,The Herald Journal
https://www.timesherald.com/2025/01/23/stevie-the-inventor-to-host-unique-stem-event-at-chestnut-hill-library/,Stevie the Inventor to host unique STEM event at Chestnut Hill Library,Chestnut Hill Library is hosting a special event for young science enthusiasts. Stevie the Inventor will teach classes about Nanobot...,6 hours ago,The Times Herald
https://www.bakersfield.com/ap/news/ignite-specialty-risk-names-ankit-patel-as-u-s-head-of-intellectual-property-underwriting/article_a26c747b-e0d6-5c22-afad-c8f272d8cf7e.html,Ignite Specialty Risk Names Ankit Patel as U.S. Head of Intellectual Property Underwriting,"SCOTTSDALE, Ariz.--(BUSINESS WIRE)--Jan 23, 2025--",2 hours ago,Bakersfield.com
https://natlawreview.com/article/ip-ip-urban-legends-ip-everything-podcast-episode-26-podcast,The IP of IP Urban Legends | The IP of Everything Podcast - Episode 26 [Podcast],Learn about the world of intellectual property IP urban legends to separate fact from fiction including poor man's copyright on Sierra Mist...,19 hours ago,The National Law Review
https://www.prnewswire.com/news-releases/hoth-therapeutics-expands-intellectual-property-portfolio-with-acquisition-of-new-patent-applications-302355367.html,Hoth Therapeutics Expands Intellectual Property Portfolio with Acquisition of New Patent Applications,"PRNewswire/ -- Hoth Therapeutics, Inc. (NASDAQ: HOTH), a patient-focused biopharmaceutical company, proudly announces advancements in its...",2 days ago,PR Newswire
https://www.law360.com/pulse/articles/2272113/intellectual-property-group-of-the-year-irell,Intellectual Property Group Of The Year: Irell,"Irell & Manella LLP won a $445 million infringement verdict for Netlist in Texas, less than a week after persuading a California federal...",19 hours ago,Law360
https://www.globenewswire.com/news-release/2025/01/22/3013469/0/en/Silo-Pharma-Advances-Intellectual-Property-Portfolio-with-Provisional-Patent-Filing-for-PTSD-Treatment.html,Silo Pharma Advances Intellectual Property Portfolio with Provisional Patent Filing for PTSD Treatment,"SARASOTA, FL, Jan. 22, 2025 (GLOBE NEWSWIRE) -- Silo Pharma, Inc. (Nasdaq: SILO) (“Silo” or the “Company”), a developmental stage...",1 day ago,GlobeNewswire
https://www.morningstar.com/news/pr-newswire/20250122ne98060/inventhelp-inventor-develops-improved-product-for-securing-a-boat-to-a-lift-fjk-481,InventHelp Inventor Develops Improved Product for Securing a Boat to a Lift (FJK-481),"PR Newswire. PITTSBURGH, Jan. 22, 2025. PITTSBURGH, Jan. 22, 2025 /PRNewswire/ -- ""I wanted to create a strong device to secure a boat to...",22 hours ago,Morningstar
https://wtop.com/business-finance/2025/01/inventor-of-kastle-systems-building-security-system-dead-at-83/,Inventor of Kastle Systems building security system dead at 83,"Gene Samburg, founder of Falls Church, Virginia-based Kastle Systems, has died at age 83.",1 day ago,WTOP
https://cbs4indy.com/business/press-releases/cision/20250122NE98063/inventhelp-inventor-develops-new-smart-bed-had-334,InventHelp Inventor Develops New Smart Bed (HAD-334),"PITTSBURGH, Jan. 22, 2025 /PRNewswire/ -- ""I wanted to create a smart bed that could automatically and non-invasively monitor a person's...",21 hours ago,cbs4indy.com
https://www.lawfuel.com/stoel-rives-adds-technology-and-intellectual-property-partner/,Stoel Rives Adds Technology and Intellectual Property Partner,"Sacramento, Calif. (January 21, 2025) – Stoel Rives, an AmLaw 200 law firm, today announced the arrival of partner Heather Antoine,...",1 day ago,LawFuel
https://www.kxan.com/business/press-releases/cision/20250122NE98061/inventhelp-inventor-develops-new-weight-sensing-security-pad-for-vehicles-fmb-285,InventHelp Inventor Develops New Weight Sensing Security Pad for Vehicles (FMB-285),"PITTSBURGH, Jan. 22, 2025 /PRNewswire/ -- ""I wanted to create a weight sensing pad that would notify the owner if their vehicle or other...",22 hours ago,KXAN Austin
https://www.prnewswire.com/news-releases/katten-lands-intellectual-property-partner-nathan-smith-in-london-302356506.html,Katten Lands Intellectual Property Partner Nathan Smith in London,"PRNewswire/ -- Katten Muchin Rosenman UK LLP announced today that Nathan Smith has joined the firm as a partner in London, strengthening the...",1 day ago,PR Newswire
https://www.morningstar.com/news/pr-newswire/20250122ne98057/inventhelp-inventor-develops-new-trash-bag-dispenser-dnv-730,InventHelp Inventor Develops New Trash Bag Dispenser (DNV-730),"PR Newswire. PITTSBURGH, Jan. 22, 2025. PITTSBURGH, Jan. 22, 2025 /PRNewswire/ -- ""I wanted to create a convenient trash can accessory for...",23 hours ago,Morningstar
https://finance.yahoo.com/news/inventhelp-inventor-develops-multi-purpose-180000089.html,InventHelp Inventor Develops Multi-Purpose Tool Bench Product (FJK-464),"""I wanted to create one product that could function as a toolbox, stepstool/stepladder, sawhorse, and seat,"" said an inventor,...",22 hours ago,Yahoo Finance
https://www.morningstar.com/news/pr-newswire/20250122ne98048/inventhelp-inventor-develops-new-laser-tool-with-anchoring-system-dal-566,InventHelp Inventor Develops New Laser Tool with Anchoring System (DAL-566),"PR Newswire. PITTSBURGH, Jan. 22, 2025. PITTSBURGH, Jan. 22, 2025 /PRNewswire/ -- ""I'm a plumbing manager and needed a better way to find...",1 day ago,Morningstar
https://www.cnyhomepage.com/business/press-releases/cision/20250122NE98054/inventhelp-inventor-develops-modified-lights-for-christmas-trees-dcd-416,InventHelp Inventor Develops Modified Lights for Christmas Trees (DCD-416),"PITTSBURGH, Jan. 22, 2025 /PRNewswire/ -- ""I knew there has to be a better way to decorate my Christmas tree with lights,"" said an inventor,...",24 hours ago,CNYhomepage.com
